열차번호,호선,방향,역사명,급행코드,도착역,예정시간,실제시간,지연시간(분)
6027,6,DOWN,신당,0,신내,2025-05-29 07:30:20,2025-05-29 07:30:46,0.43333333333333335
757,1,DOWN,직산,0,천안,2025-05-29 07:30:00,2025-05-29 07:30:46,0.7666666666666667
3051,3,DOWN,지축,0,오금,2025-05-29 07:30:30,2025-05-29 07:30:49,0.31666666666666665
7024,7,UP,하계,0,도봉산,2025-05-29 07:30:40,2025-05-29 07:30:51,0.18333333333333332
4305,4,DOWN,쌍문,0,안산,2025-05-29 07:30:00,2025-05-29 07:30:51,0.85
7060,7,UP,부평구청,0,도봉산,2025-05-29 07:31:00,2025-05-29 07:30:51,-0.15
7026,7,UP,중화,0,장암,2025-05-29 07:30:40,2025-05-29 07:30:51,0.18333333333333332
7042,7,UP,신대방삼거리,0,장암,2025-05-29 07:31:00,2025-05-29 07:30:51,-0.15
4524,4,UP,평촌,0,불암산,2025-05-29 07:30:00,2025-05-29 07:30:51,0.85
7028,7,UP,용마산,0,도봉산,2025-05-29 07:30:00,2025-05-29 07:30:51,0.85
7046,7,UP,가산디지털단지,0,장암,2025-05-29 07:30:50,2025-05-29 07:30:51,0.016666666666666666
1029,1,DOWN,주안,1,동인천,2025-05-29 07:31:00,2025-05-29 07:30:52,-0.13333333333333333
8046,8,UP,천호(풍납토성),0,별내,2025-05-29 07:38:10,2025-05-29 07:30:54,-7.266666666666667
8046,8,UP,강동구청,0,별내,2025-05-29 07:36:10,2025-05-29 07:30:54,-5.266666666666667
3068,3,UP,신사,0,대화,2025-05-29 07:31:00,2025-05-29 07:30:54,-0.1
3074,3,UP,매봉,0,구파발,2025-05-29 07:30:30,2025-05-29 07:30:55,0.4166666666666667
3076,3,UP,대치,0,대화,2025-05-29 07:31:00,2025-05-29 07:30:55,-0.08333333333333333
8038,8,UP,다산,0,별내,2025-05-29 07:36:20,2025-05-29 07:30:58,-5.366666666666666
8037,8,DOWN,암사역사공원,0,모란,2025-05-29 07:39:00,2025-05-29 07:30:59,-8.016666666666667
8035,8,DOWN,암사역사공원,0,모란,2025-05-29 07:34:00,2025-05-29 07:30:59,-3.0166666666666666
8041,8,DOWN,다산,0,모란,2025-05-29 07:37:10,2025-05-29 07:31:00,-6.166666666666667
7061,7,DOWN,어린이대공원(세종대),0,석남,2025-05-29 07:30:40,2025-05-29 07:31:01,0.35
4306,4,UP,동작,0,불암산,2025-05-29 07:30:00,2025-05-29 07:31:01,1.0166666666666666
8035,8,DOWN,암사,0,모란,2025-05-29 07:37:30,2025-05-29 07:31:02,-6.466666666666667
8035,8,DOWN,천호(풍납토성),0,모란,2025-05-29 07:39:40,2025-05-29 07:31:02,-8.633333333333333
8033,8,DOWN,천호(풍납토성),0,모란,2025-05-29 07:34:40,2025-05-29 07:31:02,-3.6333333333333333
421,1,DOWN,종로3가,0,서동탄,2025-05-29 07:31:00,2025-05-29 07:31:04,0.06666666666666667
