호선,방향,역사명,급행코드,sched_train,real_train,예정시간,실제시간,지연시간(분)
1,DOWN,구로,1,1601,,2025-06-09 08:24:00,,
1,DOWN,구로,1,1057,,2025-06-09 08:36:30,,
1,DOWN,구로,1,1909,,2025-06-09 08:42:00,,
1,DOWN,구로,1,1405,,2025-06-09 08:53:30,,
1,DOWN,구로,1,1061,,2025-06-09 08:57:30,,
1,DOWN,구로,1,1911,,2025-06-09 09:05:00,,
1,DOWN,구로,1,1065,,2025-06-09 09:20:30,,
1,DOWN,구로,1,,1043,,2025-06-09 07:30:06,
1,DOWN,구로,1,,1037,,2025-06-09 07:30:06,
1,DOWN,구일,0,35,35,2025-06-09 07:34:30,2025-06-09 07:34:53,0.38333333333333336
1,DOWN,구일,0,39,39,2025-06-09 07:53:30,2025-06-09 07:55:21,1.85
1,DOWN,구일,0,49,47,2025-06-09 08:48:00,2025-06-09 08:45:57,-2.05
1,DOWN,구일,0,37,,2025-06-09 07:42:30,,
1,DOWN,구일,0,41,,2025-06-09 08:06:30,,
1,DOWN,구일,0,43,,2025-06-09 08:14:00,,
1,DOWN,구일,0,45,,2025-06-09 08:33:30,,
1,DOWN,구일,0,47,,2025-06-09 08:41:30,,
1,DOWN,구일,0,51,,2025-06-09 08:58:30,,
1,DOWN,구일,0,53,,2025-06-09 09:04:30,,
1,DOWN,구일,0,55,,2025-06-09 09:11:00,,
1,DOWN,구일,0,57,,2025-06-09 09:18:30,,
1,DOWN,구일,0,59,,2025-06-09 09:23:00,,
1,DOWN,구일,1,1601,,2025-06-09 08:27:00,,
1,DOWN,군포,0,617,617,2025-06-09 07:35:30,2025-06-09 07:35:45,0.25
1,DOWN,군포,0,421,421,2025-06-09 08:26:00,2025-06-09 08:28:32,2.533333333333333
1,DOWN,군포,0,627,425,2025-06-09 09:03:00,2025-06-09 09:03:14,0.23333333333333334
1,DOWN,군포,0,415,,2025-06-09 07:40:00,,
1,DOWN,군포,0,619,,2025-06-09 07:48:00,,
1,DOWN,군포,0,417,,2025-06-09 07:54:30,,
1,DOWN,군포,0,621,,2025-06-09 08:02:30,,
1,DOWN,군포,0,419,,2025-06-09 08:14:00,,
1,DOWN,군포,0,623,,2025-06-09 08:20:30,,
1,DOWN,군포,0,625,,2025-06-09 08:35:00,,
1,DOWN,군포,0,423,,2025-06-09 08:48:00,,
1,DOWN,군포,0,425,,2025-06-09 08:54:30,,
1,DOWN,군포,0,427,,2025-06-09 09:16:00,,
1,DOWN,군포,0,629,,2025-06-09 09:26:00,,
1,DOWN,금정,0,617,617,2025-06-09 07:32:00,2025-06-09 07:32:25,0.4166666666666667
1,DOWN,금정,0,415,415,2025-06-09 07:36:30,2025-06-09 07:37:15,0.75
1,DOWN,금정,0,417,417,2025-06-09 07:51:00,2025-06-09 07:53:26,2.433333333333333
1,DOWN,금정,0,627,627,2025-06-09 08:59:30,2025-06-09 09:04:02,4.533333333333333
1,DOWN,금정,0,619,,2025-06-09 07:44:30,,
1,DOWN,금정,0,621,,2025-06-09 07:59:00,,
1,DOWN,금정,0,419,,2025-06-09 08:10:30,,
1,DOWN,금정,0,623,,2025-06-09 08:17:00,,
1,DOWN,금정,0,421,,2025-06-09 08:22:30,,
1,DOWN,금정,0,625,,2025-06-09 08:31:30,,
1,DOWN,금정,0,423,,2025-06-09 08:44:30,,
1,DOWN,금정,0,425,,2025-06-09 08:51:00,,
1,DOWN,금정,0,427,,2025-06-09 09:12:30,,
1,DOWN,금정,0,629,,2025-06-09 09:22:30,,
1,DOWN,금정,1,1905,,2025-06-09 08:02:30,,
1,DOWN,금정,1,1907,,2025-06-09 08:35:00,,
1,DOWN,금정,1,1909,,2025-06-09 09:02:30,,
1,DOWN,금정,1,1911,,2025-06-09 09:26:00,,
1,DOWN,금천구청,0,619,619,2025-06-09 07:30:30,2025-06-09 07:30:29,-0.016666666666666666
1,DOWN,금천구청,0,417,417,2025-06-09 07:37:00,2025-06-09 07:38:59,1.9833333333333334
1,DOWN,금천구청,0,421,421,2025-06-09 08:08:30,2025-06-09 08:10:57,2.45
1,DOWN,금천구청,0,7007,7007,2025-06-09 08:41:30,2025-06-09 08:41:44,0.23333333333333334
1,DOWN,금천구청,0,627,425,2025-06-09 08:45:30,2025-06-09 08:46:14,0.7333333333333333
1,DOWN,금천구청,0,427,427,2025-06-09 08:58:30,2025-06-09 09:02:30,4.0
1,DOWN,금천구청,0,7009,7009,2025-06-09 09:25:30,2025-06-09 09:24:47,-0.7166666666666667
1,DOWN,금천구청,0,621,,2025-06-09 07:45:00,,
1,DOWN,금천구청,0,419,,2025-06-09 07:56:30,,
1,DOWN,금천구청,0,623,,2025-06-09 08:03:00,,
1,DOWN,금천구청,0,625,,2025-06-09 08:17:30,,
1,DOWN,금천구청,0,423,,2025-06-09 08:30:30,,
1,DOWN,금천구청,0,425,,2025-06-09 08:37:00,,
1,DOWN,금천구청,0,629,,2025-06-09 09:08:30,,
1,DOWN,금천구청,0,429,,2025-06-09 09:21:30,,
1,DOWN,금천구청,0,,7005,,2025-06-09 07:30:29,
1,DOWN,금천구청,1,1905,1905,2025-06-09 07:52:00,2025-06-09 07:52:28,0.4666666666666667
1,DOWN,금천구청,1,,1907,,2025-06-09 08:26:36,
1,DOWN,남영,0,39,419,2025-06-09 07:33:00,2025-06-09 07:33:30,0.5
1,DOWN,남영,0,623,39,2025-06-09 07:36:00,2025-06-09 07:36:08,0.13333333333333333
1,DOWN,남영,0,421,623,2025-06-09 07:41:00,2025-06-09 07:40:08,-0.8666666666666667
1,DOWN,남영,0,43,43,2025-06-09 07:53:30,2025-06-09 07:55:12,1.7
1,DOWN,남영,0,425,1601,2025-06-09 08:09:30,2025-06-09 08:10:30,1.0
1,DOWN,남영,0,53,629,2025-06-09 08:44:00,2025-06-09 08:46:35,2.5833333333333335
1,DOWN,남영,0,631,55,2025-06-09 09:05:30,2025-06-09 09:04:49,-0.6833333333333333
1,DOWN,남영,0,633,431,2025-06-09 09:26:00,2025-06-09 09:22:07,-3.8833333333333333
1,DOWN,남영,0,41,,2025-06-09 07:46:00,,
1,DOWN,남영,0,625,,2025-06-09 07:50:00,,
1,DOWN,남영,0,423,,2025-06-09 08:03:00,,
1,DOWN,남영,0,45,,2025-06-09 08:13:00,,
1,DOWN,남영,0,627,,2025-06-09 08:17:00,,
1,DOWN,남영,0,47,,2025-06-09 08:21:00,,
1,DOWN,남영,0,49,,2025-06-09 08:27:30,,
1,DOWN,남영,0,427,,2025-06-09 08:31:00,,
1,DOWN,남영,0,801,,2025-06-09 08:34:30,,
1,DOWN,남영,0,51,,2025-06-09 08:38:00,,
1,DOWN,남영,0,629,,2025-06-09 08:41:00,,
1,DOWN,남영,0,55,,2025-06-09 08:50:30,,
1,DOWN,남영,0,429,,2025-06-09 08:54:00,,
1,DOWN,남영,0,57,,2025-06-09 08:58:00,,
1,DOWN,남영,0,59,,2025-06-09 09:02:30,,
1,DOWN,남영,0,61,,2025-06-09 09:10:00,,
1,DOWN,남영,0,431,,2025-06-09 09:14:00,,
1,DOWN,남영,1,1909,1909,2025-06-09 08:24:30,2025-06-09 08:29:36,5.1
1,DOWN,남영,1,1907,,2025-06-09 07:58:30,,
1,DOWN,남영,1,1601,,2025-06-09 08:06:30,,
1,DOWN,남영,1,1911,,2025-06-09 08:47:30,,
1,DOWN,남영,1,1603,,2025-06-09 09:17:30,,
1,DOWN,남영,1,,1911,,2025-06-09 08:57:55,
1,DOWN,노량진,0,39,419,2025-06-09 07:39:00,2025-06-09 07:38:50,-0.16666666666666666
1,DOWN,노량진,0,625,41,2025-06-09 07:56:00,2025-06-09 07:54:44,-1.2666666666666666
1,DOWN,노량진,0,431,59,2025-06-09 09:20:00,2025-06-09 09:22:36,2.6
1,DOWN,노량진,0,419,,2025-06-09 07:35:00,,
1,DOWN,노량진,0,623,,2025-06-09 07:42:00,,
1,DOWN,노량진,0,421,,2025-06-09 07:47:00,,
1,DOWN,노량진,0,41,,2025-06-09 07:52:00,,
1,DOWN,노량진,0,43,,2025-06-09 07:59:30,,
1,DOWN,노량진,0,423,,2025-06-09 08:09:00,,
1,DOWN,노량진,0,425,,2025-06-09 08:15:30,,
1,DOWN,노량진,0,45,,2025-06-09 08:19:00,,
1,DOWN,노량진,0,627,,2025-06-09 08:23:00,,
1,DOWN,노량진,0,47,,2025-06-09 08:27:00,,
1,DOWN,노량진,0,49,,2025-06-09 08:33:30,,
1,DOWN,노량진,0,427,,2025-06-09 08:37:00,,
1,DOWN,노량진,0,801,,2025-06-09 08:40:30,,
1,DOWN,노량진,0,51,,2025-06-09 08:44:00,,
1,DOWN,노량진,0,629,,2025-06-09 08:47:00,,
1,DOWN,노량진,0,53,,2025-06-09 08:50:00,,
1,DOWN,노량진,0,55,,2025-06-09 08:56:30,,
1,DOWN,노량진,0,429,,2025-06-09 09:00:00,,
1,DOWN,노량진,0,57,,2025-06-09 09:04:00,,
1,DOWN,노량진,0,59,,2025-06-09 09:08:30,,
1,DOWN,노량진,0,631,,2025-06-09 09:11:30,,
1,DOWN,노량진,0,61,,2025-06-09 09:16:00,,
1,DOWN,노량진,0,,1301,,2025-06-09 09:26:02,
1,DOWN,노량진,1,1259,1905,2025-06-09 07:34:00,2025-06-09 07:33:34,-0.43333333333333335
1,DOWN,노량진,1,1047,1259,2025-06-09 07:43:00,2025-06-09 07:34:55,-8.083333333333334
1,DOWN,노량진,1,1053,1053,2025-06-09 08:10:00,2025-06-09 08:11:04,1.0666666666666667
1,DOWN,노량진,1,1405,1405,2025-06-09 08:42:00,2025-06-09 08:44:35,2.5833333333333335
1,DOWN,노량진,1,1061,1061,2025-06-09 08:46:00,2025-06-09 08:47:20,1.3333333333333333
1,DOWN,노량진,1,1065,1911,2025-06-09 09:09:00,2025-06-09 09:03:24,-5.6
1,DOWN,노량진,1,1905,,2025-06-09 07:31:30,,
1,DOWN,노량진,1,1049,,2025-06-09 07:50:00,,
1,DOWN,노량진,1,1261,,2025-06-09 07:55:00,,
1,DOWN,노량진,1,1051,,2025-06-09 08:04:00,,
1,DOWN,노량진,1,1907,,2025-06-09 08:04:30,,
1,DOWN,노량진,1,1601,,2025-06-09 08:12:30,,
1,DOWN,노량진,1,1055,,2025-06-09 08:15:00,,
1,DOWN,노량진,1,1057,,2025-06-09 08:25:00,,
1,DOWN,노량진,1,1909,,2025-06-09 08:30:30,,
1,DOWN,노량진,1,1403,,2025-06-09 08:32:00,,
1,DOWN,노량진,1,1059,,2025-06-09 08:37:00,,
1,DOWN,노량진,1,1911,,2025-06-09 08:53:30,,
1,DOWN,노량진,1,1063,,2025-06-09 08:56:00,,
1,DOWN,노량진,1,1417,,2025-06-09 09:19:00,,
1,DOWN,노량진,1,1603,,2025-06-09 09:23:30,,
1,DOWN,노량진,1,1301,,2025-06-09 09:25:00,,
1,DOWN,녹양,0,61,61,2025-06-09 08:09:30,2025-06-09 08:10:32,1.0333333333333334
1,DOWN,녹양,0,957,957,2025-06-09 09:20:00,2025-06-09 09:21:03,1.05
1,DOWN,녹양,0,801,,2025-06-09 07:34:30,,
1,DOWN,녹양,0,51,,2025-06-09 07:38:00,,
1,DOWN,녹양,0,53,,2025-06-09 07:43:30,,
1,DOWN,녹양,0,55,,2025-06-09 07:50:30,,
1,DOWN,녹양,0,57,,2025-06-09 07:58:00,,
1,DOWN,녹양,0,59,,2025-06-09 08:02:30,,
1,DOWN,녹양,0,951,,2025-06-09 08:18:00,,
1,DOWN,녹양,0,65,,2025-06-09 08:31:30,,
1,DOWN,녹양,0,67,,2025-06-09 08:39:30,,
1,DOWN,녹양,0,953,,2025-06-09 08:51:30,,
1,DOWN,녹양,0,71,,2025-06-09 08:58:30,,
1,DOWN,녹양,0,955,,2025-06-09 09:06:30,,
1,DOWN,녹양,0,803,,2025-06-09 09:26:30,,
1,DOWN,녹천,0,45,45,2025-06-09 07:34:00,2025-06-09 07:36:50,2.8333333333333335
1,DOWN,녹천,0,55,53,2025-06-09 08:12:00,2025-06-09 08:11:13,-0.7833333333333333
1,DOWN,녹천,0,61,59,2025-06-09 08:31:00,2025-06-09 08:28:33,-2.45
1,DOWN,녹천,0,47,,2025-06-09 07:42:30,,
1,DOWN,녹천,0,49,,2025-06-09 07:49:00,,
1,DOWN,녹천,0,801,,2025-06-09 07:56:00,,
1,DOWN,녹천,0,51,,2025-06-09 07:59:30,,
1,DOWN,녹천,0,53,,2025-06-09 08:05:00,,
1,DOWN,녹천,0,57,,2025-06-09 08:19:30,,
1,DOWN,녹천,0,59,,2025-06-09 08:24:00,,
